排名,影院名称,票房,场次,省份,人次,城市,票价
1,遂川县百线国际影城,62569.99,17,江西省,1784,吉安市,35
2,CGV影城 北京清河店,47902.6,38,北京市,844,北京市,57
3,武汉市梦时代摩尔电影城,47205.02,83,湖北省,1314,武汉市,36
4,SFC上影影城（港汇恒隆永华店）,46590.53,65,上海市,619,上海市,75
5,北京石景山万达广场店,46552.45,55,北京市,825,北京市,56
6,英皇电影城-北京英皇中心,45959.49,49,北京市,638,北京市,72
7,深圳百老汇电影中心万象天地店,44761.05,54,广东省,798,深圳市,56
8,首都电影院西单店,44627.09,62,北京市,654,北京市,68
9,上海百丽宫影城环贸iapm店,44034.67,28,上海市,461,上海市,96
10,广州飞扬影城（正佳分店）,43934.95,53,广东省,781,广州市,56
11,北京天幕新彩云影城,43432.74,40,北京市,1028,北京市,42
12,金逸北京大悦城IMAX店,41112.93,43,北京市,636,北京市,65
13,北京嘉华国际影城,40181.37,42,北京市,784,北京市,51
14,北京寰映合生汇店,39799.76,53,北京市,616,北京市,65
15,保利万和国际影城（北京苹果园店）,39361.4,37,北京市,793,北京市,50
16,北京美嘉欢乐影城（三里屯店）,38830.02,34,北京市,632,北京市,61
17,UME影城（北京双井店）,38420.27,43,北京市,699,北京市,55
18,南昌市中影数字国际影城,38096.05,72,江西省,1162,南昌市,33
19,厦门万达影城SM广场店,37131.22,65,福建省,1035,厦门市,36
20,北京英嘉国际影城（金源NEW CINITY店）,36287.11,57,北京市,522,北京市,70
1,遂川县百线国际影城,62569.99,17,江西省,1784,吉安市,35
2,CGV影城 北京清河店,47902.6,38,北京市,844,北京市,57
3,武汉市梦时代摩尔电影城,47205.02,83,湖北省,1314,武汉市,36
4,SFC上影影城（港汇恒隆永华店）,46590.53,65,上海市,619,上海市,75
5,北京石景山万达广场店,46552.45,55,北京市,825,北京市,56
6,英皇电影城-北京英皇中心,45959.49,49,北京市,638,北京市,72
7,深圳百老汇电影中心万象天地店,44761.05,54,广东省,798,深圳市,56
8,首都电影院西单店,44627.09,62,北京市,654,北京市,68
9,上海百丽宫影城环贸iapm店,44034.67,28,上海市,461,上海市,96
10,广州飞扬影城（正佳分店）,43934.95,53,广东省,781,广州市,56
11,北京天幕新彩云影城,43432.74,40,北京市,1028,北京市,42
12,金逸北京大悦城IMAX店,41112.93,43,北京市,636,北京市,65
13,北京嘉华国际影城,40181.37,42,北京市,784,北京市,51
14,北京寰映合生汇店,39799.76,53,北京市,616,北京市,65
15,保利万和国际影城（北京苹果园店）,39361.4,37,北京市,793,北京市,50
16,北京美嘉欢乐影城（三里屯店）,38830.02,34,北京市,632,北京市,61
17,UME影城（北京双井店）,38420.27,43,北京市,699,北京市,55
18,南昌市中影数字国际影城,38096.05,72,江西省,1162,南昌市,33
19,厦门万达影城SM广场店,37131.22,65,福建省,1035,厦门市,36
20,北京英嘉国际影城（金源NEW CINITY店）,36287.11,57,北京市,522,北京市,70
21,UME影城（北京华星店）,35087.01,42,北京市,438,北京市,80
22,海上明珠国际影城上海环球港店,34791.04,30,上海市,352,上海市,99
23,金逸天津大悦城IMAX店,34687.98,56,天津市,857,天津市,40
24,南京新街口国际影城,34664.1,44,江苏省,870,南京市,40
25,武商摩尔国际电影城,34597.0,96,湖北省,1194,武汉市,29
26,北京华联影城（回龙观店）,34083.05,37,北京市,772,北京市,44
27,上海五角场万达广场店,34062.25,36,上海市,721,上海市,47
28,北京百丽宫影城金宝汇店,33663.99,24,北京市,681,北京市,49
29,吉安峡江星河影城,33575.0,14,江西省,959,吉安市,35
30,武汉博纳国际电影城,33426.62,51,湖北省,1088,武汉市,31
31,宁波影都,33245.03,38,浙江省,1127,宁波市,29
32,太原博纳国际影城,32446.32,60,山西省,803,太原市,40
33,北京博纳国际影城土桥店,32310.48,45,北京市,681,北京市,47
34,丰台恒业国际影城六里桥店,32153.97,45,北京市,692,北京市,46
35,CGV影城 北京顺义店,32147.76,36,北京市,674,北京市,48
36,兰州中心空间站IMAX影城,32022.02,58,甘肃省,737,兰州市,43
37,共青城中影星河影城,31800.0,26,江西省,795,九江市,40
38,新影联华谊兄弟影院(望京华彩店),31703.1,89,北京市,671,北京市,47
39,太原龙湖万达广场店,31633.32,74,山西省,800,太原市,40
40,西安高新万达广场店,31590.09,88,陕西省,760,西安市,42
41,北京万达影城天通苑龙德广场店,31548.93,48,北京市,554,北京市,57
42,博纳国际影城秦皇岛茂业IMAX店,31505.09,60,河北省,835,秦皇岛市,38
43,上海市天文馆球幕影院,31464.0,5,上海市,855,上海市,37
44,深圳市CINESKY新天影院(壹方天地IMAX店),31371.63,85,广东省,600,深圳市,52
45,湘潭华纳兄弟影城,31135.0,25,湖南省,799,湘潭市,39
46,景德镇光明电影院,30929.99,22,江西省,787,景德镇市,39
47,北京通州万达广场店,30584.78,74,北京市,532,北京市,57
48,CGV影城 东莞国贸店,30425.34,58,广东省,575,东莞市,53
49,鄂州市杜比国际影城,30280.0,44,湖北省,757,鄂州市,40
50,北京市金泉港国际影城,29957.14,77,北京市,541,北京市,55
51,太原市万象影城IMAX店,29941.84,33,山西省,544,太原市,55
52,首都电影院昌平店,29732.52,44,北京市,588,北京市,51
53,惠州万达影城金山湖店,29291.45,45,广东省,832,惠州市,35
54,广州市捷登都会飞扬影城,29053.65,83,广东省,671,广州市,43
55,长春红旗街万达广场店,28765.17,41,吉林省,923,长春市,31
56,博纳国际影城北京大郊亭店,28703.39,61,北京市,512,北京市,56
57,CGV影城 深圳壹方城店,28354.77,63,广东省,507,深圳市,56
58,SFC上影影城（美罗城店）,28241.4,22,上海市,501,上海市,56
59,杭州新远国际影城,27893.13,43,浙江省,507,杭州市,55
60,石家庄裕华万达广场店,27183.37,54,河北省,852,石家庄市,32
61,荆州万达广场店,27040.17,42,湖北省,794,荆州市,34
62,CGV影院 郑州正弘城店,26888.62,39,河南省,513,郑州市,52
63,北京CBD万达广场店,26882.4,42,北京市,471,北京市,57
64,长春寰映影城摩天活力城店,26827.23,46,吉林省,869,长春市,31
65,广州番禺万达广场店,26825.47,56,广东省,632,广州市,42
66,金逸影城北京中关村店,26715.33,38,北京市,521,北京市,51
67,中影国际影城武汉光谷天河店,26656.9,45,湖北省,1072,武汉市,25
68,北京广安门影院,26495.01,40,北京市,655,北京市,40
69,高安市华纳兄弟影城,26400.0,23,江西省,660,宜春市,40
70,金逸影城深圳宝安大仟里IMAX店,26326.45,51,广东省,540,深圳市,49
71,遂川县星河国际影城,26079.51,15,江西省,747,吉安市,35
72,卢米埃北京长楹天街IMAX影城,25827.91,41,北京市,423,北京市,61
73,广州市珠影飞扬番禺天河城影城,25724.02,44,广东省,510,广州市,50
74,新余市中影时代影城,25505.0,27,江西省,655,新余市,39
75,上海市MOViEMOViE影城前滩太古里店,25323.01,24,上海市,275,上海市,92
76,北京市深影国际影城(四道口店),25011.32,53,北京市,509,北京市,49
77,哈尔滨哈西万达广场店,24984.49,60,黑龙江,704,哈尔滨市,35
78,南昌市华纳兄弟国际影城H潮店,24730.03,33,江西省,642,南昌市,39
79,SFC上影影城（徐汇绿地滨江店）,24679.93,44,上海市,347,上海市,71
80,SFC上影影城（徐汇日月光店）,24641.91,50,上海市,435,上海市,57
81,大同万达广场店,24537.35,55,山西省,761,大同市,32
82,南京幸福蓝海国际影城（江北虹悦城IMAX店）,24461.86,61,江苏省,617,南京市,40
83,郑州二七万达广场店,24299.56,56,河南省,681,郑州市,36
84,乌鲁木齐万达广场店,24140.9,62,新疆,605,乌鲁木齐市,40
85,上海百美汇影城静安嘉里中心店,24119.97,26,上海市,326,上海市,74
86,万象影城成都万象城IMAX激光店,24059.69,32,四川省,446,成都市,54
87,西亚影城固始店,23984.04,40,河南省,882,信阳市,27
88,广州飞扬影城,23973.98,47,广东省,464,广州市,52
89,CGV影城 上海七宝店,23888.61,46,上海市,376,上海市,64
90,长沙市中影星美国际影城万家丽店,23848.1,88,湖南省,727,长沙市,33
91,CGV影城 杭州奥体印象城店,23831.6,43,浙江省,386,杭州市,62
92,重庆万达影城大融城店,23606.68,62,重庆市,690,重庆市,34
93,万象影城石家庄IMAX店,23350.59,42,河北省,468,石家庄市,50
94,南昌红谷滩万达广场店,23312.35,60,江西省,793,南昌市,29
95,廊坊万达广场店,23291.99,57,河北省,696,廊坊市,33
96,北京市中影数字国际影城（华宇店）,23272.44,56,北京市,519,北京市,45
97,大连高新万达广场店,23209.12,67,辽宁省,747,大连市,31
98,UME影城（北京安贞店）,23184.49,51,北京市,429,北京市,54
99,北京博纳悠唐国际影城,23013.45,46,北京市,423,北京市,54
100,上海和平影都,22950.79,35,上海市,386,上海市,59
101,西安市博纳国际影城大悦城IMAX店,22923.28,46,陕西省,532,西安市,43
102,广州百丽宫影城猎德igc店,22824.99,39,广东省,428,广州市,53
103,CGV影城 杭州滨江天街店,22720.44,46,浙江省,362,杭州市,63
104,北京太平洋影城中关村店,22702.0,49,北京市,386,北京市,59
105,金逸北京荟聚IMAX店,22675.53,46,北京市,364,北京市,62
106,北京市门头沟影剧院,22500.0,2,北京市,500,北京市,45
107,长沙万达影城梅溪湖步步高店,22495.34,52,湖南省,627,长沙市,36
108,SFC上影影城（昆明永华店）,22465.94,46,云南省,626,昆明市,36
109,泰和县中影弘鼎影城,22426.01,34,江西省,645,吉安市,35
110,济南万达影城世茂广场店,22334.88,63,山东省,569,济南市,39
111,中影国际影城上海合生汇店,22196.86,56,上海市,506,上海市,44
112,杭州百美汇影城嘉里中心店,22160.07,35,浙江省,368,杭州市,60
113,福州仓山万达广场店,22131.78,53,福建省,598,福州市,37
114,UME影城（西安小寨店）,22100.96,63,陕西省,727,西安市,30
115,山西剧院,21949.85,90,山西省,829,太原市,26
116,上海百丽宫影城长宁来福士店,21855.02,35,上海市,329,上海市,66
117,合肥万达影城之心城光魔店,21803.11,46,安徽省,629,合肥市,35
118,广州金逸--无锡光美金逸影城,21755.93,54,江苏省,581,无锡市,37
119,金逸广州海珠城IMAX店,21704.69,45,广东省,452,广州市,48
120,UME影城（上海新天地店）,21677.3,31,上海市,322,上海市,67
121,成都百丽宫影城远洋太古里店,21659.03,44,四川省,375,成都市,58
122,CGV星星影城 北京颐堤港店,21626.03,36,北京市,376,北京市,58
123,万象影城天津万象城IMAX激光店,21553.98,39,天津市,453,天津市,48
124,泉州浦西万达广场店,21546.41,50,福建省,585,泉州市,37
125,嘉华国际影城(北京姚家园路店),21368.46,45,北京市,446,北京市,48
126,大连经开万达广场店,21309.17,65,辽宁省,551,大连市,39
127,SFC上影影城（杭州龙湖店）,21170.38,43,浙江省,442,杭州市,48
128,金逸上海龙之梦IMAX店,21156.86,54,上海市,406,上海市,52
129,万载天幕国际影城,21086.0,36,江西省,527,宜春市,40
130,卢米埃温州万象城IMAX影城,21070.16,34,浙江省,471,温州市,45
131,北京新华国际影城（良乡店）,21041.02,29,北京市,439,北京市,48
132,CGV影城 天宫院凯德店,20983.96,43,北京市,448,北京市,47
133,帕加尼国际影城江西万年店,20960.0,17,江西省,533,上饶市,39
134,CGV影城 苏州中心店,20918.6,39,江苏省,346,苏州市,60
135,北京熙旺国际影城,20880.02,41,北京市,432,北京市,48
136,CGV影城 上海南翔印象城店,20867.19,43,上海市,329,上海市,63
137,CGV影城 深圳卓悦中心店,20833.24,58,广东省,345,深圳市,60
138,广丰华夏国际影城,20699.99,24,江西省,532,上饶市,39
139,宁波鄞州万达广场店,20646.46,47,浙江省,534,宁波市,39
140,西安大明宫万达广场店,20534.48,55,陕西省,509,西安市,40
141,运城万达广场店,20515.36,55,山西省,664,运城市,31
142,成都锦华万达广场店,20457.54,64,四川省,498,成都市,41
143,北京丰台万达广场店,20425.0,55,北京市,459,北京市,44
144,SFC上影影城（成都龙湖店）,20038.95,48,四川省,586,成都市,34
145,临汾恒业国际影城,20034.63,45,山西省,738,临汾市,27
146,东莞东城万达广场店,19992.03,54,广东省,560,东莞市,36
147,柳州城中万达广场店,19782.74,56,广西,540,柳州市,37
148,德纳国际影城杭州萧山店,19772.27,43,浙江省,498,杭州市,40
149,呼和浩特万达广场店,19694.87,47,内蒙古,551,呼和浩特市,36
150,广州大学城宝鑫影城,19688.98,22,广东省,583,广州市,34
151,新乡牧野区万达广场店,19680.41,54,河南省,617,新乡市,32
152,丰城市中影万和国际影城,19600.0,44,江西省,490,宜春市,40
153,北京耀莱成龙影城（西红门店）,19531.53,48,北京市,451,北京市,43
154,西安碑林万达广场店,19505.37,57,陕西省,674,西安市,29
155,鄂尔多斯万达广场店,19440.15,45,内蒙古,455,鄂尔多斯市,43
156,昆明百老汇影城顺城购物中心店,19372.4,38,云南省,476,昆明市,41
157,北京影协金鸡百花影城,19370.96,34,北京市,436,北京市,44
158,襄阳万达广场店,19290.5,46,湖北省,564,襄阳市,34
159,保定万达影城万博广场店,19280.72,42,河北省,565,保定市,34
160,武汉万达影城群星城光魔酷映店,19228.35,46,湖北省,666,武汉市,29
161,宁波博纳国际影城（北仑店）,19222.43,66,浙江省,457,宁波市,42
162,上海百丽宫影城万象城店,19144.02,29,上海市,241,上海市,79
163,上海江桥万达广场店,19141.42,33,上海市,367,上海市,52
164,南宁市新民族影城,19126.62,45,广西,453,南宁市,42
165,莆田万达广场店,19113.86,55,福建省,507,莆田市,38
166,北京市华联影院肖家河店,19025.0,36,北京市,396,北京市,48
167,SFC上影影城（天津天河城店）,19019.08,41,天津市,623,天津市,31
168,SFC上影国际影城港城店,19019.01,38,上海市,369,上海市,52
169,CGV影城 海口友谊阳光城店,18998.54,48,海南省,481,海口市,39
170,宁德横店电影城,18974.02,37,福建省,554,宁德市,34
171,晋江万达广场店,18947.95,55,福建省,499,泉州市,38
172,完美世界影城（北京太阳宫店）,18911.38,39,北京市,388,北京市,49
173,昆明万达影城同德广场店,18905.06,67,云南省,462,昆明市,41
174,万象影城济南万象城IMAX激光店,18857.57,31,山东省,349,济南市,54
175,成都博纳国际影城（大悦城店）,18811.39,48,四川省,407,成都市,46
176,上海寰映影城太阳宫店,18753.39,44,上海市,332,上海市,56
177,广州市脉铂影城嘉禾店,18709.66,57,广东省,704,广州市,27
178,新乡布拉格影城,18701.54,42,河南省,569,新乡市,33
179,南宁青秀万达广场店,18671.12,79,广西,522,南宁市,36
180,巨幕影城（武汉光谷广场资本大厦店）,18655.17,53,湖北省,778,武汉市,24
181,成都王府井影城,18633.78,109,四川省,568,成都市,33
182,通辽万达广场店,18624.4,44,内蒙古,497,通辽市,37
183,万象影城武汉万象城杜比影院店,18621.03,40,湖北省,561,武汉市,33
184,湛江万达广场店,18602.66,55,广东省,516,湛江市,36
185,无锡大世界博大蓝海影城,18585.93,46,江苏省,547,无锡市,34
186,广州天河影城,18547.87,51,广东省,446,广州市,42
187,英皇电影城-合肥万象城,18532.85,61,安徽省,374,合肥市,50
188,CGV影城 重庆U城店,18467.07,37,重庆市,486,重庆市,38
189,天津河东万达广场店,18417.95,63,天津市,476,天津市,39
190,晋中万达广场店,18214.13,57,山西省,562,晋中市,32
191,杭州万象影城萧山店,18123.95,29,浙江省,382,杭州市,47
192,绵阳涪城万达广场店,18098.96,58,四川省,517,绵阳市,35
193,北京市沃美影城IMAX店,18096.15,42,北京市,419,北京市,43
194,银川金凤万达广场店,17994.26,50,宁夏,440,银川市,41
195,中影国际影城珠海华发2店,17889.0,42,广东省,435,珠海市,41
196,合肥包河万达广场店,17888.88,46,安徽省,451,合肥市,40
197,乌鲁木齐市中影美居电影城（花田电影小镇）,17847.88,65,新疆,541,乌鲁木齐市,33
198,首都电影院金融街店,17832.02,29,北京市,299,北京市,60
199,大连华臣影城(西安路店),17806.68,64,辽宁省,538,大连市,33
200,长春吉视迅驰影城,17796.16,41,吉林省,674,长春市,26
201,深圳市万象影城罗湖万象城店,17778.45,41,广东省,326,深圳市,55
202,上海寰映影城大融城店,17770.8,42,上海市,322,上海市,55
203,榆林万达广场店,17736.49,41,陕西省,437,榆林市,41
204,西安奥斯卡熙地港国际影城,17695.88,54,陕西省,358,西安市,49
205,安阳万达广场店,17692.25,47,河南省,607,安阳市,29
206,唐山万达影城凤城国贸店,17624.41,42,河北省,494,唐山市,36
207,佳映国际影城（天津滨江道店）,17595.02,67,天津市,520,天津市,34
208,SFC上影影城（八佰伴店）,17584.01,51,上海市,282,上海市,62
209,杭州百老汇影城金沙印象城店,17581.0,28,浙江省,390,杭州市,45
210,福清万达广场店,17552.65,45,福建省,454,福州市,39
211,昆明西山万达广场店,17489.79,80,云南省,442,昆明市,40
212,上海百丽宫影城陆家嘴中心店,17482.04,49,上海市,259,上海市,67
213,北京耀莱成龙影城（房山店）,17444.13,80,北京市,423,北京市,41
214,上海龙之梦影城,17429.99,32,上海市,321,上海市,54
215,万象影城厦门万象城店,17417.56,42,福建省,364,厦门市,48
216,东莞虎门万达广场店,17398.59,48,广东省,475,东莞市,37
217,上海苏宁影城五角场店,17384.63,56,上海市,460,上海市,38
218,橙天嘉禾影城惠州华贸店,17363.06,40,广东省,556,惠州市,31
219,成都环球中心旗舰店,17346.69,64,四川省,337,成都市,51
220,绍兴柯桥万达广场店,17339.18,40,浙江省,480,绍兴市,36
221,郑州奥斯卡熙地港国际影城,17268.58,53,河南省,382,郑州市,45
222,卢米埃南京金鹰新街口影城,17246.59,43,江苏省,515,南京市,33
223,包头青山万达广场店,17204.55,48,内蒙古,485,包头市,35
224,广州飞扬影城（乐峰店）,17167.85,52,广东省,340,广州市,50
225,佳木斯万达广场店,17120.01,43,黑龙江,531,佳木斯市,32
226,上海市博悦汇影城,17119.55,37,上海市,261,上海市,66
227,UME影城（重庆江北店）,17086.71,70,重庆市,499,重庆市,34
228,UME影城（河北石家庄店）,17079.99,62,河北省,507,石家庄市,34
229,湛江中影星美影城鼎盛广场店,16947.15,45,广东省,504,湛江市,34
